Headword,POS
accountant,Noun
basketball,Noun
dress,Noun
actor,Noun
stairs,Noun
giraffe,Noun
potato,Noun
rooster,Noun
door,Noun
ring,Noun
apple,Noun
queen,Noun
butterfly,Noun
dolphin,Noun
pirate,Noun
secretary,Noun
deer,Noun
rain,Noun
bar,Noun
bacon,Noun
binoculars,Noun
drum,Noun
microscope,Noun
whip,Verb
machine,Noun
wave,Noun
chance,Noun
bridge,Noun
papercutter,Noun
violin,Noun
flashlight,Noun
angel,Noun
concept,Noun
star,Noun
building,Noun
attention,Noun
gas,Noun
chocolate,Noun
counselor,Noun
college,Noun
start,Verb
puzzled,Adjective
surprise,Noun
hearing_aid,Noun
blind,Adjective
bored,Adjective
responsibility,Noun
bath,Noun
some,Minor
mustache,Noun
awkward,Noun
relationship,Noun
favorite,Noun
hunt,Verb
rude,Adjective
headache,Noun
honest,Adjective
city,Noun
tall_2,Adjective
rest,Verb
impossible,Adjective
warn,Verb
new_york,Noun
hockey,Noun
flag,Noun
film,Verb
last,Number
videophone,Noun
shy,Adjective
look_at,Verb
learn,Verb
traffic,Noun
three,Number
print,Noun
mind,Noun
body,Noun
fingerspell,Verb
because,Minor
pill,Noun
bake_2,Verb
good,Adjective
hotel,Noun
wrong,Adjective
type,Noun
doubt,Verb
judge,Noun
army,Noun
patient_1,Noun
much,Minor
5_dollars,Noun
wristwatch,Noun
breakdown,Verb
brother,Noun
person,Noun
bug,Noun
me,Minor
salt,Noun
angry,Adjective
serious,Adjective
sick,Adjective
lettuce,Noun
minute,Noun
speakers,Noun
father,Noun
prefer,Verb
nothing,Noun
certificate,Noun
important,Adjective
delicious,Adjective
freckles,Noun
engagement,Noun
patient_2,Adjective
farm,Noun
thief_2,Verb
which,Minor
peace,Noun
silly,Adjective
eat,Verb
about,Minor
possible,Adjective
black,Adjective
please,Adverb
mother,Noun
same_1,Minor
gallaudet,Name
knife,Noun
drink,Noun
same_2,Minor
scarcely,Adverb
year,Noun
wait,Verb
israel,Noun
swallow,Verb
friday,Name
really,Adverb
congratulations,Minor
ask,Verb
alphabet,Noun
whatever,Adverb
hospital,Noun
subtract,Verb
win,Verb
after,Minor
wear,Verb
key,Noun
try,Verb
where,Minor
grandfather,Noun
summer,Noun
act,Verb
parade,Noun
vote,Noun
slow,Adjective
grow,Verb
other,Adjective
dream,Noun
thursday,Name
lipstick,Noun
warm,Adjective
behind,Minor
boss,Noun
sad,Adjective
cigar,Noun
zoom_in,Verb
credit_card,Noun
accident,Verb
government,Noun
dance,Noun
experience,Noun
wet,Adjective
disagreement,Noun
purple,Adjective
look_appearance,Verb
mean_1,Adjective
new,Adjective
age,Noun
about,Minor
sew,Verb
decide,Verb
stress,Noun
wonder,Verb
pile,Noun
hairdryer,Noun
week,Noun
time,Noun
blinds_1,Noun
bad,Adjective
health,Verb
leave,Verb
green,Adjective
son,Noun
sunset,Noun
character,Noun
travel,Verb
boy,Noun
freeway,Noun
animal,Noun
train,Noun
remote_control,Noun
emotion,Noun
videocamera,Noun
get,Verb
cookie,Noun
starbucks,Name
brag,Verb
lie,Verb
communication,Noun
worm,Noun
run,Verb
vacation,Noun
shave,Verb
imagine,Verb
thief_1,Noun
set_up,Verb
maybe,Adverb
world,Noun
tall_1,Adjective
finish,Verb
call_tty,Verb
pipe,Noun
cry,Verb
religion,Noun
cabinet,Noun
tournament,Noun
more,Minor
dont_mind,Verb
glasses,Noun
sleep,Verb
interest,Noun
careful,Adjective
check,Verb
snob,Noun
things,Noun
parents,Noun
look_for,Verb
live,Verb
problem_2,Noun
trouble,Noun
for,Minor
brave,Adjective
challenge,Noun
catholic,Adjective
text,Verb
borrow,Verb
wednesday,Name
have,Verb
fight,Verb
work,Verb
live,Verb
beer,Noun
home,Adverb
lawnmower,Noun
fingerspelling,Noun
heart,Noun
hotdog,Noun
class,Noun
keyboard,Noun
and,Minor
camera,Noun
fall_1,Noun
war,Noun
find,Verb
movie,Noun
lonely,Adjective
scared,Adjective
happen,Verb
graduate,Verb
eat,Verb
email,Noun
research,Noun
stubborn,Adjective
cute_1,Adjective
recording,Verb
fire,Noun
understand,Verb
dryer,Noun
talk,Verb
people,Noun
hungry,Adjective
fat,Adjective
light_weight,Adjective
late,Adjective
embarrass,Verb
mock,Verb
figure,Verb
baby,Noun
vegetable,Noun
ugly,Adjective
sorry,Adjective
pepsi,Name
pretty,Adverb
cousin,Noun
museum,Noun
family,Noun
action,Noun
center,Noun
upload,Verb
four,Number
waste,Verb
letter,Noun
make,Verb
first,Number
basement,Noun
mcdonalds,Name
hard,Adjective
quiet,Adjective
call_attention,Verb
front,Minor
man,Noun
who,Minor
money,Noun
fine,Adjective
day,Noun
cute_2,Adjective
mean_2,Verb
strict,Adjective
know,Verb
past,Minor
show,Verb
fault,Noun
equal,Adjective
wish,Noun
headphones,Noun
downsize,Verb
king,Noun
guess,Verb
stupid_1,Adjective
cigarette,Noun
my,Minor
complex,Adjective
eyes,Noun
divorce,Noun
expensive,Adjective
right_1,Adjective
play,Verb
cross,Noun
hippo,Noun
right_2,Minor
staff,Noun
eraser,Noun
computer_mouse,Noun
pink,Adjective
art,Noun
reason,Noun
foreigner,Noun
demand,Noun
chat,Verb
north,Noun
cracker,Noun
temptation,Noun
cherry,Noun
exercise,Noun
alarm,Noun
announce,Verb
blood,Noun
appointment,Noun
owe,Verb
skate,Verb
feel,Verb
thin,Adjective
sun,Noun
price,Noun
two,Number
america,Name
invite,Verb
jacket,Noun
lose_game,Verb
europe,Name
poor,Adjective
morning,Noun
tell,Verb
remember,Verb
worry,Verb
tear,Verb
cancellation,Noun
church,Noun
steal,Verb
hammer,Noun
french,Noun
hearing,Verb
rabbit,Noun
1_dollar,Noun
corn_2,Noun
grandmother,Noun
woman,Noun
south,Noun
see,Verb
friendly,Adjective
internet,Noun
department,Noun
need,Verb
behavior,Noun
measure,Noun
TV,Noun
color,Noun
jelly,Noun
punish,Verb
egypt,Name
ball,Noun
high,Adjective
balance,Noun
stupid_2,Adjective
greece,Name
doll,Noun
frustrate,Verb
numbers,Noun
skateboarding,Verb
explanation,Noun
what_for,Minor
8_hour,Number
benefit,Noun
wash_machine,Noun
gullible,Adjective
furniture,Noun
high_school,Noun
call,Verb
blue,Adjective
university,Noun
order_1,Noun
weak,Adjective
children,Noun
few,Minor
cold,Adjective
line,Noun
comb,Verb
cough,Noun
hour,Noun
way,Noun
with,Minor
birth,Noun
agreement,Noun
never,Adverb
9_oclock,Number
haircut,Noun
percent,Noun
fruit,Noun
jigsaw_puzzle,Noun
accomplish,Verb
caption,Noun
mouth,Noun
pineapple,Noun
jump,Verb
red,Adjective
earth,Noun
magnet,Noun
emperor,Noun
deep,Adjective
fall_2,Verb
adult,Noun
indian,Adjective
problem_1,Noun
earring,Noun
suspect,Noun
want,Verb
blinds_2,Noun
bone,Noun
fast,Adverb
strange,Adjective
boots,Noun
squirrel,Noun
kneel,Verb
pity,Noun
channel,Noun
oral,Adjective
box,Noun
dirty,Adjective
misunderstand,Verb
laugh,Verb
dart,Noun
soda,Noun
wood,Noun
jewish,Adjective
pain,Noun
canada,Name
sports,Noun
order_2,Noun
protection,Noun
cover_up,Verb
scan,Noun
medicine,Noun
no,Minor
laptop,Noun
arm,Noun
sure,Adjective
download,Verb
game,Noun
lecture,Noun
bowl,Noun
wrong,Adjective
jealous,Adjective
drop,Verb
think,Verb
stomach,Noun
earn,Verb
go,Verb
kid,Noun
country,Noun
that,Minor
candle,Noun
voice,Noun
now,Adverb
stamp,Noun
appear,Verb
nurse,Noun
sneeze,Verb
foreigner,Noun
power,Noun
monday,Name
thirsty,Adjective
weather,Noun
girl,Noun
come,Verb
shop_1,Verb
secret,Noun
drunk,Adjective
happy,Adjective
honor,Noun
future,Noun
throw,Verb
meeting,Noun
scroll_down,Noun
beard,Noun
when,Minor
smoking,Verb
all,Minor
school,Noun
prayer,Noun
clear,Adjective
old,Adjective
perfect,Adjective
well,Adverb
stop,Verb
motorcycle,Noun
finally,Adverb
kill,Verb
ego,Noun
wine,Noun
address,Noun
drown,Verb
coins,Noun
preacher,Noun
yellow,Adjective
name,Noun
business,Noun
shocked,Adjective
yesterday,Adverb
off_the_point,Adverb
movie,Noun
cheat_2,Verb
saturday,Name
gossip,Noun
small,Adjective
smile,Noun
pliers,Noun
cake,Noun
zipper,Noun
shampoo,Noun
disappear,Verb
juggle,Verb
long_line,Noun
teeth,Noun
list,Noun
help,Verb
chicago,Name
not_yet,Adverb
canoe,Noun
japan,Name
thanksgiving,Noun
paint,Verb
penny,Noun
match,Verb
write,Verb
theater,Noun
corkscrew,Noun
birthday,Noun
boat,Noun
bedroom,Noun
zoom_off,Verb
yeah,Minor
from,Minor
test,Noun
promote,Verb
floor,Noun
iron,Noun
copy,Verb
faucet,Noun
mechanic,Noun
why,Minor
crawl,Verb
break,Verb
easy,Adjective
mascara,Noun
lobster,Noun
arrive,Verb
sail,Verb
point,Noun
introduce,Verb
later,Adverb
lock,Noun
duck,Noun
translate,Verb
crocodile,Noun
husband,Noun
tail,Noun
enough,Adverb
idea,Noun
sweep,Verb
owl,Noun
cause,Verb
here,Adverb
pity,Noun
shiny,Adjective
cloud,Noun
february,Name
peg,Verb
loud,Adverb
lucky,Adjective
gold,Noun
pool,Noun
uncle,Noun
thermometer,Noun
guess,Verb
kiss,Noun
president,Noun
forgetful,Adjective
meet,Verb
mail,Noun
envelope,Noun
die,Verb
meat,Noun
screwdriver,Noun
alone,Adjective
lighter,Noun
bicycle,Noun
ski,Noun
let_know,Verb
dive,Verb
insurance,Noun
sign_language,Noun
bank,Noun
rollerblading,Noun
helmet,Noun
confident,Adjective
dice,Verb
metal,Noun
forfeit,Verb
deny,Verb
cocacola,Name
steak,Noun
helicopter,Noun
car,Noun
drill,Noun
restaurant,Noun
gun,Noun
night,Noun
full,Adjective
believe,Verb
tired,Adjective
impact,Verb
teach,Verb
newspaper,Noun
think_over,Verb
hello,Minor
patient_2,Adjective
walk,Verb
downsize,Verb
metaphor,Noun
there,Adverb
calendar,Noun
pull,Verb
draw,Verb
bottle,Noun
you,Minor
interpreter,Noun
fine,Adjective
god,Name
lightning,Noun
fraud,Noun
ear,Noun
vomit,Verb
nut,Noun
italy,Name
smart,Adjective
clock,Noun
push,Verb
france,Name
candy_2,Noun
toast,Noun
rat,Noun
how,Minor
leaf,Noun
what_1,Minor
hope,Verb
trophy,Noun
tomato,Noun
germany,Name
battery,Noun
tease,Verb
russia,Name
sweater,Noun
amazing,Adjective
what_2,Minor
far,Adverb
shame,Noun
inject,Verb
friend,Noun
gay,Adjective
rope,Noun
young,Adjective
since,Minor
wedding,Noun
rhino,Noun
loyal,Adjective
magic,Noun
mime,Noun
beat,Verb
rake,Verb
contact,Noun
pop,Verb
myself,Minor
wife,Noun
priest,Noun
can,Verb
stethoscope,Noun
back,Adverb
but,Minor
holiday,Noun
continue,Verb
enjoy,Verb
sit,Verb
disney,Name
zero,Number
lamp,Noun
TRUE,Adjective
offend,Verb
crazy,Adjective
summarize,Verb
elegance,Noun
use,Verb
not_care,Minor
brown,Adjective
own,Verb
horrible,Adjective
sister,Noun
breathe,Verb
excuse,Noun
west,Noun
stir,Verb
oops,Minor
decide,Verb
shop_2,Noun
frog,Noun
saw,Verb
china,Name
pretend,Verb
bear,Noun
lose,Verb
many,Minor
eagle,Noun
spider,Noun
airplane,Noun
ignore,Verb
fly,Verb
knitting,Verb
forever,Adverb
toothbrush,Noun
buy,Verb
sing,Verb
create,Verb
weigh,Verb
cook,Verb
kangaroo,Noun
demand,Noun
relax,Verb
east,Noun
lesson,Noun
vacuum,Verb
guilty,Adjective
house,Noun
select,Verb
revenge,Noun
forbid,Verb
move,Verb
silver,Noun
sushi,Noun
glow,Noun
wink,Verb
hurt,Verb
prince,Noun
bus,Noun
sarcastic,Adjective
grasp,Verb
egg_beater,Verb
tanktop,Noun
cooperate,Verb
yucky,Adjective
dark,Adjective
shot,Verb
plenty,Adjective
story_1,Noun
rocket_1,Noun
spend,Verb
sweatshirt,Noun
stuck,Adjective
bat_2,Noun
plug,Noun
request,Verb
want_2,Verb
hot_competition,Adjective
off,Minor
suspenders_2,Verb
plant,Noun
brainwash,Verb
change,Verb
ghost,Noun
wash_1,Verb
category,Noun
engine_start,Verb
oh_i_see,Verb
car_battery,Noun
avoid,Verb
reduce,Verb
vitamins,Noun
they,Minor
churn,Verb
fed_up,Verb
fork,Noun
shield,Noun
pharmacist,Noun
eleven,Number
face,Noun
cleftchin,Noun
gift,Noun
turn_key,Verb
get_information_out_of,Verb
bye,Noun
bachelor,Noun
basket_2,Noun
stockings,Noun
slipper,Noun
carousel,Verb
toy_1,Noun
flip_switch,Verb
tube_top,Noun
close_eyes,Verb
up,Minor
step,Verb
team,Noun
offhand,Adverb
accent,Noun
end,Verb
put_in_back_mind,Verb
nail_clipper,Verb
persistent,Adjective
deflate,Verb
niece,Noun
straight,Adjective
not_interested,Adjective
bulldozer,Noun
everyday,Adverb
most,Minor
fascinated,Verb
wall,Noun
glass_1,Noun
closet_2,Noun
let_me_see,Verb
berry,Noun
do_do,Verb
hear_1,Verb
bull,Noun
budget,Noun
not,Minor
basic,Adjective
snorkel,Noun
passport,Noun
freedom,Noun
hold_together,Verb
serve_1,Verb
today,Noun
fit,Verb
sequence,Noun
send,Verb
grenade,Noun
stand,Verb
tent,Noun
dont_want,Verb
too_much,Adjective
sshh,Minor
missing,Verb
divide,Verb
proof,Noun
come_out,Verb
lick_1,Verb
open_book,Verb
daughter,Noun
spontaneous,Adjective
forever_2,Noun
peekaboo,Noun
aunt,Noun
vase,Noun
ticket,Noun
add,Verb
noise,Noun
immerse,Verb
apart,Adjective
cameraman,Noun
mischievous,Adjective
flute,Noun
weight,Noun
sometimes,Minor
busy,Adjective
learn_lesson,Verb
sink,Verb
less,Adjective
enemy,Noun
cut_1,Verb
motivation_1,Noun
smell,Noun
wrap,Verb
bubbles,Noun
drive,Verb
hose,Noun
chain,Noun
charge_card,Verb
fun,Adjective
depress,Verb
shelf,Noun
view,Verb
circle,Noun
hang,Verb
chimney,Noun
nothing_2,Minor
out,Minor
danger,Noun
bison,Noun
beans,Noun
throw_away,Verb
shark_2,Noun
empty_1,Adjective
gate_close,Verb
contact_lens,Verb
window_open,Verb
enter,Verb
peanut_butter,Noun
walrus,Noun
hair_clipper,Verb
yourself,Minor
press_in_mind,Verb
spend_lots_of_money,Verb
pizza_cutter,Noun
pizza_2,Noun
scrub,Verb
under,Minor
rocket_2,Verb
mushroom,Noun
paragraph,Noun
specific,Adjective
work_out,Verb
belt,Verb
cannot,Verb
lollipop,Noun
blow,Verb
pen,Noun
ears_up,Verb
salt_shaker,Noun
share,Verb
blond,Adjective
bib,Noun
open_wallet,Verb
restless,Adjective
on,Minor
snowsuit,Noun
falling_asleep,Verb
navel,Noun
nine,Number
memorize_memorize,Verb
roll,Verb
alcohol,Noun
soft,Adjective
physics,Noun
truth,Noun
wand,Noun
technology,Noun
bee,Noun
raisin,Noun
cost,Verb
camcorder,Verb
winter,Noun
shark_1,Noun
rocking_chair,Noun
hop,Verb
scream,Verb
park,Verb
car_accident,Verb
easter,Noun
head_grind,Verb
plan,Verb
bite_on_neck,Verb
reflect,Verb
journey,Noun
funny,Adjective
grab,Verb
picnic,Noun
handsome_3,Adjective
zoo,Noun
float,Verb
head,Noun
sculpture,Noun
white,Adjective
lipread,Verb
goal,Noun
dont_know,Verb
sign,Noun
juggler,Noun
destroy,Verb
swim,Verb
rush,Verb
process,Verb
obvious,Adjective
guide,Verb
fins,Noun
release / free,Verb
connection,Noun
in,Minor
gate,Noun
answer,Verb
lights_on,Verb
habit,Noun
true_business,Adjective
platform,Noun
outside,Minor
elevator,Noun
hamster,Noun
spring,Noun
word,Noun
disrupt,Verb
suspenders_1,Noun
soap_2,Verb
plain,Adjective
next,Minor
discuss,Verb
clean,Verb
catapult,Verb
famous,Adjective
to,Minor
orange_eyes,Adjective
kiss_2,Noun
beanie,Noun
bind,Verb
hold_accountable,Verb
slave,Noun
different,Adjective
clothes,Noun
heart_touch,Verb
deaf,Adjective
edge,Noun
grieve,Verb
sword,Noun
pjs,Noun
calculator,Noun
decline,Verb
wow,Minor
handsome_1,Adjective
cape,Noun
shape,Noun
intuitive,Adjective
towel,Noun
switzerland,Name
sled_1,Noun
dragon,Noun
suck,Verb
axe,Noun
cool_1,Adjective
unique,Adjective
crown,Noun
peas_1,Noun
cowboy,Noun
planet,Noun
take_off,Verb
register,Verb
vanilla,Noun
give,Verb
charge,Verb
to_a_goal,Adverb
antlers,Noun
rough,Adjective
break_down,Verb
then,Minor
twins,Noun
dont_like,Verb
robot,Noun
this/it,Minor
escalator,Noun
chaos,Noun
propeller_1,Noun
roof,Noun
drug,Noun
back_out,Verb
knock,Verb
seem,Verb
easel,Noun
take_pill,Verb
perfume_2,Verb
cancer,Noun
shooting,Verb
melt,Verb
gamble,Verb
your,Minor
sauce,Noun
wash_hands,Verb
sneak_adventure,Verb
predict,Verb
filter,Verb
bow_3,Verb
better,Adjective
pet,Verb
cut_2,Verb
bottom,Noun
stopwatch,Noun
edit,Verb
signature,Noun
wash_dishes,Verb
donut,Noun
audience,Noun
breakfast,Noun
lousy,Adjective
upset_1,Adjective
lunch,Noun
braille,Noun
quit,Verb
gray,Adjective
wallet,Noun
pay,Verb
fencing,Verb
mad,Adjective
heavy,Adjective
state,Noun
sideburns,Noun
penguin,Noun
bolt,Verb
skin,Noun
option,Noun
guillotine_2,Verb
dessert,Noun
inspiring,Adjective
glue_2,Verb
hall,Noun
damn,Minor
slide,Verb
i_love_you,Verb
climb_ladder,Verb
party,Noun
than,Minor
delinquent,Noun
must,Verb
hit_1,Verb
pear,Noun
marry,Verb
high_heels,Noun
cream,Noun
hurdle/trip,Noun
astronaut,Noun
interested,Adjective
eclipse,Noun
living_room,Noun
snap,Verb
depth,Noun
fold,Verb
band_aid,Noun
auditorium,Noun
look_forward,Verb
experienced,Adjective
fraction,Noun
buttons,Noun
risk,Verb
bet,Verb
bat_2,Verb
spit_out,Verb
unicorn,Noun
impress,Verb
isolated,Adjective
let_go,Verb
normal,Adjective
beg,Verb
leak,Verb
orange_throat,Adjective
tomorrow,Noun
sweatpants,Noun
he,Minor
blow_mind,Verb
member,Noun
finance,Noun
accordion,Noun
dining_room,Noun
stay,Verb
peas_2,Noun
microscope,Noun
big,Adjective
bomb,Noun
cheap,Adjective
frown_1,Verb
his,Minor
each,Minor
plate,Noun
hurricane,Noun
best,Adjective
pour,Verb
honey_1,Noun
vagina,Noun
river,Noun
beaver,Noun
expect,Verb
slingshot,Noun
chin_2,Noun
away,Minor
tan,Adjective
harp,Noun
psychology,Noun
race,Verb
grade,Noun
murder ,Verb
hate,Verb
yawn_1,Verb
hold,Verb
neck,Noun
mailman,Noun
road,Noun
udder,Noun
swing_2,Verb
how_2,Adverb
think_connect,Verb
third,Number
sticky,Adjective
lick_2,Verb
rule,Noun
dye,Verb
hot,Adjective
sailboat,Noun
microphone,Noun
temper_blow_up,Verb
distracted,Verb
chop,Verb
bald,Adjective
firetruck,Noun
drip,Verb
they,Minor
rainbow,Noun
practice,Verb
backyard,Noun
bring,Verb
dry,Adjective
dislike,Verb
octopus,Noun
next_to,Minor
burp,Verb
freeze,Verb
autism,Noun
one,Noun
clause,Noun
monster,Noun
thunder,Noun
earmuffs,Noun
chase,Verb
kiss_on_cheek,Verb
santa  ,Noun
bandage,Noun
meat_2,Noun
water_ski,Verb
ride_1,Verb
hypocrite,Adjective
will,Verb
smell_money,Verb
we_will_see,Verb
bright,Adjective
christmas,Noun
red_faced,Adjective
doesnt_matter,Verb
soccer_2,Verb
buffalo,Noun
fiance,Noun
dictionary,Noun
pay_off_bills,Verb
deaf,Adjective
half,Noun
ready,Adjective
bat_1,Noun
cocaine,Noun
invest,Verb
put,Verb
get_through,Verb
shake_2,Verb
event,Noun
boxing,Verb
curious,Adjective
string,Noun
fan,Noun
even,Adverb
type,Noun
sour,Adjective
babysitter,Noun
like,Verb
cheese_grater,Noun
bow_1,Noun
support_2,Verb
crack,Verb
signing_fluently,Verb
wheelbarrow,Noun
take_care,Verb
argue,Verb
marionette,Noun
q_tip,Noun
dresser,Noun
assistant,Noun
flipflops,Noun
law,Noun
over,Minor
ok,Minor
or,Minor
clueless,Adjective
CANCEL,Verb
everything,Minor
dedicate_1,Verb
emphasis,Noun
seven,Number
sausage,Noun
scar_memory,Verb
turban,Noun
wrap_up,Verb
stamp_2,Noun
take_notes,Verb
penis,Noun
badge,Noun
closet_1,Noun
ostrich,Noun
go_to_jail,Verb
not_used_to,Adjective
child,Noun
rich,Adjective
refrigerator,Noun
spot_something,Verb
limited,Adjective
soon_1,Adjective
blame,Verb
fence,Noun
hoe,Noun
guillotine_1,Noun
something,Minor
rocking_chair,Noun
wash_face_1,Verb
escape,Verb
pizza_1,Noun
near,Minor
any,Minor
tape,Noun
early,Adjective
jump_rope,Noun
highlighter,Verb
two_more,Number
busted,Adjective
complain,Verb
record,Verb
catepillar,Noun
lungs,Noun
free,Adjective
pitcher,Noun
place,Noun
softball,Noun
date,Noun
skunk,Noun
porcupine,Noun
stare,Verb
tty,Noun
hurdle/trip,Verb
spill_1,Verb
forest,Noun
think_penetrate,Verb
abbreviate,Verb
eyes_awake,Verb
camel,Noun
tired_of,Adverb
maid,Noun
wheelchair,Noun
click,Verb
convince,Verb
not_understand,Verb
thought_disappear,Verb
support_1,Noun
move_down,Verb
sharp_1,Adjective
seal,Noun
follow_1,Verb
long,Adjective
not_mind,Verb
shake_1,Verb
chopsticks,Noun
backpack,Noun
hands,Noun
overlook,Verb
snail,Noun
love,Verb
so,Minor
page,Noun
real_sick,Verb
holy,Adjective
magnify_1,Noun
goatee,Noun
hurry,Verb
jar,Noun
run_out_of,Verb
awake,Adjective
choke,Verb
fair,Verb
champion,Noun
immature,Adjective
safe,Adjective
stadium,Noun
handcuffs,Noun
hand_soap,Verb
study,Verb
persuade,Noun
straw,Noun
take,Verb
spain,Name
muscle,Noun
clap,Verb
together,Noun
handsome_2,Adjective
barrette,Noun
back_up,Verb
suit,Noun
green_beans,Noun
pass_out,Verb
zebra,Noun
hongkong,Name
stapler,Verb
put_aside,Verb
leather,Noun
freak_out,Verb
gum,Noun
believe,Verb
compass,Noun
couch_1,Noun
noon,Noun
think_expand,Verb
bless,Verb
vain,Adjective
bell,Noun
dig_up,Verb
net,Noun
confidential,Adjective
wise,Adjective
example,Noun
hide,Verb
operate_machine,Verb
sled_2,Verb
garlic,Noun
beach,Noun
hanukkah,Noun
tissue,Noun
catch,Verb
frame,Noun
halloween,Noun
hug,Verb
cannon,Noun
skill,Adjective
very_interested,Adjective
intentional,Adjective
hen,Noun
lips,Noun
effect,Verb
nerve,Noun
fringe,Noun
concerned,Verb
celery,Noun
miss,Verb
inspire,Verb
before,Minor
count,Verb
blink,Verb
energy,Noun
edit,Verb
boyfriend,Noun
party,Noun
ruin,Verb
innocent,Adjective
bow_2,Noun
land,Noun
our,Minor
dreadlocks,Noun
thrilled,Adjective
claw,Noun
baseball_cap,Noun
easy_to_do,Verb
save_money,Verb
analyze,Verb
noose,Noun
pope,Noun
watch,Verb
should,Verb
windy,Adjective
lunch,Noun
lift,Verb
sophisticated,Adjective
program,Noun
still,Adverb
ruler,Noun
write_on_wall,Verb
peacock,Noun
w.h.a.t,Minor
valley,Noun
chew_1,Verb
flag_2,Noun
rob,Verb
pin_on,Verb
finger,Noun
stamp_1,Verb
bite,Verb
moose,Noun
very,Minor
dispatch,Verb
haha,Minor
noon,Noun
gym,Noun
calm,Adjective
sofa,Noun
truck_1,Noun
hell,Noun
tear_rip_1,Verb
nail,Verb
halloween,Noun
spread_1,Verb
whale,Noun
bloom,Verb
saxophone,Noun
hairdresser,Noun
if,Minor
disappoint,Verb
we,Minor
ice,Noun
going_through_a_hard_time,Verb
juice_1,Noun
form,Noun
rose,Noun
melon,Noun
shut_out,Verb
strong,Adjective
plummet,Verb
look_like,Verb
resist,Verb
bend,Verb
tend_your,Verb
six,Number
juice_2,Noun
elevator,Noun
motivation_2,Verb
join,Verb
hinge,Noun
tube,Noun
fix,Verb
dinner,Noun
faint,Verb
row,Verb
beak,Noun
jellyfish,Noun
average,Adjective
gone,Adjective
cheek,Noun
harmonica,Noun
down,Minor
cancer,Noun
tongue,Noun
feed,Verb
nice,Adjective
archeology,Noun
save,Verb
players,Noun
touch,Verb
overwhelmed,Adjective
siren,Noun
axe,Verb
temporary,Adjective
pancake,Noun
pull_convince,Verb
basket_1,Noun
nonsense,Noun
snowman,Noun
yes,Minor
nose,Noun
ocean,Noun
